,departamento,Departamento de Matemáticas,,,,,,,,,,,input_type,evidence_kind
,campus,Campus Hermosillo. Universidad de Sonora,,,,,,,,,,,,
,titulo,CRITERIOS DE EVALUACIÓN CURRICULAR PARA EL INGRESO DE PERSONAL ACADÉMICO DE ASIGNATURA,,,,,,,,,,,,
,area,Área de trabajo o asignatura:,,,,,,,,,,,,
,,De capítulo de libro,1,0.5,0.25,,,,0,0,0,number,,
,,De libro,3,1.5,0.75,,,,0,0,0,number,,
,V.H.,Impartición de cursos de actualización disciplinar o didáctica ,0.1,0.05,0.025,,,,0,,,number,,
,,"Para profesionistas, técnicos externos o personal académico de nivel medio superior (puntos por hora)",0.1,0.05,0.025,,,,0,0,0,number,,
,,Para personal académico de nivel superior (puntos por hora),0.2,0.1,0.05,,,,0,0,0,number,,
,V.I.,Diseño y elaboración cursos curriculares para la enseñanza en línea ,0.5,0.25,0.125,,,,,,,number,,
,,De manera sincrónica,1,0.5,0.25,,,,0,0,0,number,,
,,De manera asincrónica,2,1,0.5,,,,0,0,0,number,,
,V.J.,Impartición de un curso diseñado para la enseñanza en línea,,,,,,,,,,,,
,,De manera sincrónica,0.5,0.25,0.125,,,,0,0,0,number,,
,,De manera asincrónica,0.6,0.3,0.15,,,,0,0,0,number,,
,V.K.,Implementación de cursos curriculares,,,,,,,,,,,,
,,En idioma inglés.,2,1,0.5,,,,0,0,0,number,,
,,Tipo COIL (Collaborative Online International Learning) ,2,1,0.5,,,,0,0,0,number,,
,,Clase espejo,1,0.5,0.25,,,,0,0,0,number,,
,,Sumas Parciales ,,,,,,,0,0,0,,,
,,"Puntajes máximos por columna:  50 puntos para columna C, 100 puntos para la suma de B y C",,,,,,,0,0,0,,,
,,SUBTOTAL,,,,,,,0,,,,,
,,,,,,,,,,,,,,
,VI.,ACTIVIDADES GENERALES DE DIRECCIÓN Y ACOMPAÑAMIENTO A ESTUDIANTES (max. 150 puntos),,,,,,,,,,,,
,,,Puntaje Unitario,,,Unidades,,,Puntaje Total,,,,,
,,,,,,En el área de Concurso,En otras áreas de matemáticas ,En otras áreas afínes,,,,,,
,,,A,B,C,A,B,C,A,B,C,,,
,VI.A.,Impartición de módulos de diplomado o cursos de titulación a estudiantes de nivel superior  (puntos por hora),0.1,0.05,0.025,,,,0,0,0,number,,
,VI.B.,Premio otorgado a estudiante por labor realizada bajo supervisión del docente,,,,,,,,,,,,
,,Regional o local,0.5,0.25,0.125,,,,0,0,0,number,,
,,Nacional,1,0.5,0.25,,,,0,0,0,number,,
,,Internacional,1.5,0.75,0.375,,,,0,0,0,number,,
,VI.C.,Dirección de Tesis o Tesina,,,,,,,,,,,,
,,Licenciatura,4,2,1,,,,0,0,0,number,,
,,Maestría,8,4,2,,,,0,0,0,number,,
,,Doctorado,16,8,4,,,,0,0,0,number,,
,VI.D.,Asesoría de Tesis o Tesina,,,,,,,,,,,,
,,Licenciatura,1,0.5,0.25,,,,0,0,0,number,,
,,Maestría,2,1,0.5,,,,0,0,0,number,,
,,Doctorado,3,1.5,0.75,,,,0,0,0,number,,
,VI.E.,Asesoría en otros trabajos académicos escritos para optar por el título de licenciatura ,1,0.5,0.25,,,,0,0,0,number,,
,VI.F.,Miembro del jurado de examen de grado,,,,,,,,,,,,
,,Licenciatura,2,1,0.5,,,,0,0,0,number,,
,,Maestría,4,2,1,,,,0,0,0,number,,
,,Doctorado,8,4,2,,,,0,0,0,number,,
,VI.G.,Asesor de grupos de estudiantes en programas de extensión y vinculación.,2,1,0.5,,,,0,0,0,number,,
,VI.H.,Preparación de estudiantes para competencias académicas ,,,,,,,,,,,,
,,Coordinador,1,0.5,0.25,,,,0,0,0,number,,
,,Asesor,0.5,0.25,0.125,,,,0,0,0,number,,
,VI.I.,Preparación de alumnos para la presentación del EGEL,,,,,,,,,,,,
,,Coordinador,2,1,0.5,,,,0,0,0,number,,
,,Asesor,1,0.5,0.25,,,,0,0,0,number,,
,VI.J.,Asesor de estudiantes para presentación de ponencias en evento académico ,,,,,,,,,,,,
,,Regional o local,0.5,0.25,0.125,,,,0,0,0,number,,
,,Nacional,1,0.5,0.25,,,,0,0,0,number,,
,,Internacional,1.5,0.75,0.375,,,,0,0,0,number,,
,,Sumas Parciales ,,,,,,,0,0,0,,,
,,"Puntajes máximos por columna:  37.5 puntos para columna C, 75 puntos para la suma de B y C",,,,,,,0,0,0,,,
,,SUBTOTAL,,,,,,,0,,,,,
,,,,,,,,,,,,,,
,VII.,ACTIVIDADES GENERALES DE INVESTIGACIÓN (max. 130 puntos),,,,,,,,,,,,
,,,Puntaje Unitario,,,Unidades,,,Puntaje Total,,,,,
,,,,,,En el área de Concurso,En otras áreas de matemáticas ,En otras áreas afínes,,,,,,
,,,A,B,C,A,B,C,A,B,C,,,
,VII.A.,Distinción SNII Vigente,,,,,,,,,,,,
,,Candidato,8,,,,,,0,,,number,,
,,Nivel 1,12,,,,,,0,,,number,,
,,Nivel 2,16,,,,,,0,,,number,,
,,Nivel 3,20,,,,,,0,,,number,,
,VII.B.,Otras distinciones en  investigación,,,,,,,,,,,,
,,A nivel nacional,6,3,1.5,,,,0,0,0,number,,
,,A nivel internacional,8,4,2,,,,0,0,0,number,,
,VII.C.,Artículo publicado en revista de catálogo ,,,,,,,,,,,,
,,De circulación nacional ,4,2,1,,,,0,0,0,number,,
,,De circulación internacional ,8,4,2,,,,0,0,0,number,,
,VII.D.,Artículo publicado en revista con arbitraje,,,,,,,,,,,,
,,De circulación nacional ,1,0.5,0.25,,,,0,0,0,number,,
